Channel_Metadata_Filename,Channel_Metadata_ID
CODEX_Imaging_level_2-spatial_clone/C3L-00970-13u2__20231220.csv,syn61518070
CODEX_Imaging_level_2-spatial_clone/C3L-01287-11Us1__20231219.csv,syn61518075
CODEX_Imaging_level_2-spatial_clone/HT323B1-S1H3A4__20211008.csv,syn61518066
CODEX_Imaging_level_2-spatial_clone/HT339B2-H1__20230427.csv,syn61518068
CODEX_Imaging_level_2-spatial_clone/HT413C1-K2__20230427.csv,syn61518073
CODEX_Imaging_level_2-spatial_clone/HT488C1-Th1K1Fp1-U14__20230419.csv,syn61518069
CODEX_Imaging_level_2-spatial_clone/HT488C1-Th1K1Fp1__20230413.csv,syn61518072
CODEX_Imaging_level_2-spatial_clone/HT565B1-H2__20230427.csv,syn61518067
CODEX_Imaging_level_2-spatial_clone/S15_1909_C2_Section3__20230308.csv,syn61518074
CODEX_Imaging_level_2-spatial_clone/mCRC_S16-32775_Met__20230826.csv,syn61518076
CODEX_Imaging_level_2-spatial_clone/mCRC_S16-38794_Met__20230823.csv,syn61518071
CODEX_Imaging_level_2-spatial_clone/mCRC_S16-38794_Primary__20230824.csv,syn61518077
codex_level_2/channelNames/channelNames_A001-C-002.csv,syn58909823
codex_level_2/channelNames/channelNames_A001-C-007.csv,syn58909825
codex_level_2/channelNames/channelNames_A001-C-023.csv,syn58909829
codex_level_2/channelNames/channelNames_A001-C-119.csv,syn58909832
codex_level_2/channelNames/channelNames_A001-C-124.csv,syn58909834
codex_level_2/channelNames/channelNames_A002-C-024.csv,syn58909838
codex_level_2/channelNames/channelNames_A002-C-203.csv,syn58909843
codex_level_2/channelNames/channelNames_A014-C-002.csv,syn58909853
codex_level_2/channelNames/channelNames_A015-C-005.csv,syn58909854
codex_level_2/channelNames/channelNames_A015-C-202.csv,syn58909855
codex_level_2/channelNames/channelNames_B001-A-101.csv,syn58909861
codex_level_2/channelNames/channelNames_B001-A-301.csv,syn58909862
codex_level_2/channelNames/channelNames_B001-A-401.csv,syn58909863
codex_level_2/channelNames/channelNames_CRC_TB15564.csv,syn58909864
codex_level_2/channelNames/channelNames_F072B.csv,syn58909869
codex_level_2/channelNames/channelNames_A001-C-104.csv,syn58909830
codex_level_2/channelNames/channelNames_A001-C-108.csv,syn58909831
codex_level_2/channelNames/channelNames_A002-C-016.csv,syn58909835
codex_level_2/channelNames/channelNames_A002-C-021.csv,syn58909836
codex_level_2/channelNames/channelNames_A002-C-025.csv,syn58909839
codex_level_2/channelNames/channelNames_A002-C-106.csv,syn58909842
codex_level_2/channelNames/channelNames_A002-C-204.csv,syn58909847
codex_level_2/channelNames/channelNames_A002-C-205.csv,syn58909849
codex_level_2/channelNames/channelNames_A002-C-211.csv,syn58909850
codex_level_2/channelNames/channelNames_A002-C-212.csv,syn58909852
codex_level_2/channelNames/channelNames_A015-C-204.csv,syn58909856
codex_level_2/channelNames/channelNames_A015-C-206.csv,syn58909858
codex_level_2/channelNames/channelNames_A015-C-208.csv,syn58909859
codex_level_2/channelNames/channelNames_G024.csv,syn58909871
codex_level_2/channelNames/channelNames-G025.csv,syn58909816
codex_level_2/channelNames/channelNames-G043.csv,syn58909819
codex_level_2/channelNames/channelNames-G044.csv,syn58909820
codex_level_2/channelNames/channelNames-G051.csv,syn58909822
codex_level_2/channelNames/channelNames_G055.csv,syn58909873
codex_level_2/channelNames/channelNames_G061.csv,syn58909877
codex_level_2/channelNames/channelNames_G062.csv,syn58909878
codex_level_2/channelNames/channelNames_G_Desc3.csv,syn58909879
codex_level_2/channelNames/channelnames_A001-C-043.csv,syn61375757
codex_level_2/channelNames/channelnames_A001-C-207.csv,syn61375758
codex_level_2/channelNames/channelnames_A014-C-114.csv,syn61375788
codex_level_2/channelNames/MarkerList_A015-C-010.csv,syn61375754
codex_level_2/channelNames/MarkerList_A015-C-207.csv,syn61375756
codex_level_2/channelNames/MarkerList_A018-E-014.csv,syn61375807
codex_level_2/channelNames/MarkerList_A018-E-021.csv,syn61375759
codex_level_2/channelNames/MarkerList_A020-E-008.csv,syn61786218
codex_level_2/channelNames/MarkerList_A027-E-002.csv,syn61375776
codex_level_2/channelNames/MarkerList_A035-E-045.csv,syn61375761
codex_level_2/channelNames/MarkerList_A040-C-005.csv,syn61375766
codex_level_2/channelNames/MarkerList_A040-C-006.csv,syn61375768
codex_level_2/channelNames/MarkerList_A051-C-058.csv,syn61786219
codex_level_2/channelNames/MarkerList_A051-C-059.csv,syn61786220
