Channel_Metadata_Filename,channel_metadata_url,entityId,File_Size,md5
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260010000000000_metadata.csv,syn25126405,17863,72d480f36f426c1c77828c93e6189926
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260020000000000_metadata.csv,syn25126404,17863,ad955984e8777fa5f3b541619a0e53d1
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260030000000000_metadata.csv,syn25126403,17863,4443248f3c8f64306b3fd0a4817bb505
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260040000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260040000000000_metadata.csv,syn25126402,17863,38e9bb51a037f1da2e4610e0c67fbcbe
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260050000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260050000000000_metadata.csv,syn25126401,17863,c1de88e81311e9cac2e1bd7215268365
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260060000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260060000000000_metadata.csv,syn25126399,17863,ea99e867a79d015747d0c9b10c2b114b
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260070000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260070000000000_metadata.csv,syn25126398,17863,e1040464dd8c9d68450059c81b7b7aef
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260080000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260080000000000_metadata.csv,syn25126397,17863,dc102561134959513defc349a550d2c1
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260090000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260090000000000_metadata.csv,syn25126396,17863,cb4420b54c0bf6ac74092124fa784aed
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260100000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260100000000000_metadata.csv,syn25126395,17863,12d1c71bcd9ad463a16babc649bde534
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280010000000000_metadata.csv,syn25126394,19216,0f950abe053424bb7f1a35c13c38918f
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280020000000000_metadata.csv,syn25126393,19188,dd193ed2d0a5f339034f575906037712
